name,website_url
Ainmane,https://ainmane.com
Alchemist,https://alchemistroastery.com
Araku Coffee,https://www.arakucoffee.in/
BaarbaraBerry,https://baarbaracoffee.com/
Baba's Beans,https://babasbeanscoffee.com/
Beachville Coffee Roasters,https://beachvillecoffee.com/
Beans n Brews,https://www.beansnbrews.in/
Bili Hu,https://bilihu.in/
BiziBean Coffee,https://www.bizibean.com
Black Baza Coffee,https://store.blackbazacoffee.com/
Bloom Coffee Roasters,https://bloomcoffeeroasters.in/
Blue Tokai Coffee Roasters,https://bluetokaicoffee.com
Bombay Island Coffee Company,https://bombayisland.com/
Classic Coffees,https://classiccoffees.in
Coffee Mechanics,https://www.coffeemechanics.co.in/
Coffee Nirvana,https://www.coffeenirvana.co.in
Coffee Plus,https://www.coffee.plus
Corridor Seven Coffee Roasters,https://corridorseven.coffee/
Curious Life Coffee,https://www.curiouslifecoffee.com/
Devan's,https://www.devans.in/
Dope Coffee Roasters,https://dopecoffee.in/
El Bueno Coffee,https://elbuenocoffee.com/
Fraction 9 Coffee,https://www.fraction9coffee.com/
G-Shot Coffee Roastery,https://www.gshotcoffeeroastery.com/
Grey Soul Coffee Roasters,https://greysoul.coffee
Half Light Coffee Roasters,http://halflightcoffee.com
Hebbey Coffee,https://www.hebbey.com/
Home Blend Coffee Roasters,https://homeblendcoffee.com/
Ikkis Coffee Roasters,https://ikkis.coffee
Kafeido,https://kafeido.com/
KaffaCerrado,https://www.kaffacerrado.com/
Kaffenum,https://www.kaffenumcoffee.com
Kali,https://kali.coffee
Kapi Kottai,https://kapikottai.coffee
Karma Kaapi,https://karmakaapi.com/
KCRoasters - By Koinonia,https://kcroasters.com/
KOHI Roasters,https://kohiroasters.in/
Kokoro Coffee,https://www.kokoro.in/
Korebi Coffee,https://korebi.coffee/
Landour Coffee,https://www.landourcoffee.com/
Marc's Coffee,https://www.marcscoffees.com/
Maverick and Farmer Coffee,https://www.maverickandfarmer.com/
Naivo Coffee,https://naivo.in/
Nandan Coffee,https://www.nandancoffee.com/
Quick Brown Fox Coffee Roasters,https://qbfcoffee.com/
Roastery Coffee,https://www.roasterycoffee.co.in/
Red Sirocco,https://www.redsirocco.com
Savorworks Coffee Roasters,https://www.savorworksroasters.com
Seven Beans Coffee Company,https://sevenbeans.co/
Soul Brew Coffee,https://soul-brew-coffee-llp.myshopify.com/
Subko Specialty Coffee Roasters,https://www.subko.coffee/
Tariero Artisan Roastery,https://www.tariero.com/
Third Wave Coffee Roasters,https://www.thirdwavecoffeeroasters.com/
Tulum Coffee,https://www.tulum.coffee/
